Time,Roll,Pitch,Roll Correction,Pitch Correction,Height
0,0,0,0,0,0
0.01,6.66E-07,-6.66E-07,8.88E-05,-8.88E-05,-0.0004855338314
0.02,5.32E-06,-5.32E-06,0.0006228767287,-0.0006228767287,-0.001924268161
0.03,1.59E-05,-1.79E-05,0.001429306886,-0.001695407763,-0.004289396553
0.04,3.43E-05,-4.23E-05,0.002504617055,-0.00330511615,-0.007554104791
0.05,6.23E-05,-8.20E-05,0.003841910895,-0.00544222205,-0.01169157069
0.06,0.0001014575977,-0.0001406595714,0.005430860501,-0.008088542953,-0.01667496416
0.07,0.0001533742387,-0.0002213039444,0.007257655344,-0.01121741548,-0.02247704027
0.08,0.0002193466764,-0.0003267533187,0.009303749385,-0.01479180931,-0.02906698293
0.09,0.000300512474,-0.0004593903278,0.01154818655,-0.01876621544,-0.03641193366
0.1,0.0003978051361,-0.0006211448722,0.01396756192,-0.02308822573,-0.04447892922
0.11,0.0005119371194,-0.0008134544011,0.01653553146,-0.02769864131,-0.05323500715
0.12,0.0006433878012,-0.00103723129,0.01922341654,-0.03253228602,-0.06264721027
0.13,0.0007922767714,-0.001292639525,0.02198487552,-0.03749247511,-0.07267044345
0.14,0.0009581784941,-0.001578696243,0.02474766735,-0.04242692615,-0.0832292598
0.15,0.001140485109,-0.001893593005,0.02748611032,-0.04722238477,-0.09424520649
0.16,0.001338282502,-0.00223476358,0.03015739637,-0.05177189527,-0.1056398687
0.17,0.001550432557,-0.002599052446,0.03272866597,-0.05598844941,-0.1173396974
0.18,0.001775686171,-0.002982991727,0.03518138218,-0.05982000032,-0.1292832427
0.19,0.002012461784,-0.003382625137,0.0374671127,-0.0631899888,-0.1414102929
0.2,0.002258950687,-0.003793546929,0.03955035969,-0.06602542205,-0.1536606615
0.21,0.002513140927,-0.004210985766,0.04139805663,-0.0682629913,-0.1659741769
0.22,0.002772844458,-0.00462989806,0.04298007864,-0.06985060953,-0.178290668
0.23,0.003035727222,-0.005045067634,0.04426972383,-0.07074856498,-0.1905499471
0.24,0.003299399591,-0.005451301648,0.04525185865,-0.07094268242,-0.2026943858
0.25,0.003561517397,-0.005843671104,0.04592462951,-0.07045091646,-0.214672787
0.26,0.003819617572,-0.006217389669,0.04626441731,-0.06927593057,-0.2264345351
0.27,0.004071224465,-0.006567868026,0.04626137772,-0.06742809798,-0.2379289359
0.28,0.00431388377,-0.006890794855,0.04591014267,-0.06492923012,-0.2491052051
0.29,0.004545196176,-0.007182212828,0.04520989584,-0.06181218244,-0.2599124602
0.3,0.004762850308,-0.007438586921,0.04416439009,-0.05812008173,-0.2702997172
0.31,0.004964654492,-0.007656863651,0.04278189876,-0.05390534328,-0.28021589
0.32,0.005148566839,-0.007834520136,0.04107509896,-0.04922851232,-0.2896097953
0.33,0.005312723241,-0.007969602149,0.03906089138,-0.04415695918,-0.298430161
0.34,0.005455462841,-0.008060750594,0.03676015742,-0.03876346378,-0.306625638
0.35,0.005575190953,-0.008107047898,0.03417617431,-0.03310229676,-0.3141361717
0.36,0.005669973544,-0.008107623988,0.03125837426,-0.0271766613,-0.32086707
0.37,0.005738602122,-0.008062376671,0.02809702475,-0.02108595199,-0.3267149162
0.38,0.005780253469,-0.007972190018,0.02473943197,-0.0149612197,-0.3315762293
0.39,0.005794498516,-0.007838882861,0.02123536013,-0.008929918593,-0.3353474934
0.4,0.005781923562,-0.007665396391,0.01771869453,-0.003147611725,-0.3379818798
0.41,0.0057436918,-0.007455308688,0.01426823062,0.0022911332,-0.3395024017
0.42,0.005680614883,-0.007212061194,0.01084090561,0.007392752864,-0.3399365426
0.43,0.005593620143,-0.006938917248,0.00745477973,0.01216965672,-0.3393118834
0.44,0.005483788428,-0.006638955334,0.004133342659,0.01663573858,-0.3376652876
0.45,0.0053522924,-0.006315072791,0.0008923690465,0.02080500332,-0.33504144
0.46,0.005200367168,-0.005970043173,-0.002255975313,0.02468440357,-0.3314855724
0.47,0.005029331799,-0.005606558859,-0.00529644705,0.02827561586,-0.3270429678
0.48,0.004840586937,-0.005227261448,-0.008213839816,0.03157652791,-0.3217589506
0.49,0.004635617801,-0.004834789418,-0.01099227451,0.03457883748,-0.315677258
0.5,0.004416024597,-0.004431900227,-0.01361153473,0.03725796926,-0.3088338937
0.51,0.00418348194,-0.004021410349,-0.01605642894,0.03959694255,-0.301262178
0.52,0.003939733221,-0.003606146878,-0.01831226771,0.04158502705,-0.29299537
0.53,0.003686582761,-0.003188938593,-0.02036517555,0.04321264297,-0.2840667289
0.54,0.003425884792,-0.00277260832,-0.02220254053,0.04447121755,-0.274509508
0.55,0.003159531718,-0.0023599633,-0.02381314698,0.04535347618,-0.2643569505
0.56,0.002889441769,-0.001953783713,-0.02518729467,0.04585371973,-0.2536422858
0.57,0.002617546167,-0.001556809722,-0.02631690473,0.04596806118,-0.2423987268
0.58,0.002345775937,-0.00117172734,-0.02719561021,0.04569462365,-0.2306594689
0.59,0.002076074357,-0.0008011969277,-0.02781538075,0.04502790613,-0.2184557876
0.6,0.001810587392,-0.000448167575,-0.02814275407,0.04392057573,-0.2058022996
0.61,0.001551409797,-0.0001156618857,-0.02817744072,0.04235302827,-0.1927040878
0.62,0.001300517032,0.0001934902036,-0.02792839213,0.04034089523,-0.1791657315
0.63,0.001059801317,0.0004766993448,-0.02740014559,0.03790682925,-0.1651917832
0.64,0.0008310541175,0.0007316396735,-0.02659984393,0.03507732684,-0.1507867725
0.65,0.0006159495733,0.00095626842,-0.02553717047,0.03188236717,-0.1359552105
0.66,0.0004160289953,0.001148843138,-0.02422425988,0.02835515975,-0.1207015958
0.67,0.0002326866045,0.001307936393,-0.02267558516,0.02453186367,-0.1050304207
0.68,6.72E-05,0.001432447734,-0.02090782174,0.02045127449,-0.08894617719
0.69,-7.95E-05,0.001521612789,-0.01893968991,0.01615448158,-0.07245336418
0.7,-0.0002063955683,0.001575009376,-0.01679177731,0.01168449997,-0.05555649334
0.71,-0.000312843477,0.001592560519,-0.01448634297,0.007085880607,-0.03826009529
0.72,-0.0003983445701,0.001574534351,-0.01204710501,0.002404303469,-0.02056872478
0.73,-0.0004626015177,0.001521540846,-0.00949901392,-0.002313842118,-0.002486965096
0.74,-0.0005055193076,0.001434525436,-0.00686801381,-0.007021885338,0.01598056861
0.75,-0.0005272058088,0.001314759528,-0.004180793836,-0.0116733055,0.03482922715
0.76,-0.0005279703972,0.001163828033,-0.0014645323,-0.01622216295,0.05405432637
0.77,-0.0005083206586,0.0009836139937,0.001253364037,-0.02062352506,0.07365114753
0.78,-0.0004689571959,0.0007762804687,0.003945522997,-0.02483388326,0.09361493887
0.79,-0.0004107665931,0.0005442498291,0.006584869666,-0.02881155708,0.1139409185
0.8,-0.0003348126009,0.0002901806573,0.009144886359,-0.0325170819,0.1346242782
0.81,-0.0002423256291,1.69E-05,0.01159986718,-0.03591357668,0.1556601883
0.82,-0.000134690646,-0.0002724115931,0.01392516487,-0.03896708876,0.1770438033
0.83,-1.34E-05,-0.0005746736148,0.01609742752,-0.04164691274,0.1987702678
0.84,0.0001197935016,-0.0008865114496,0.01809482288,-0.04392588061,0.220834723
0.85,0.0002632287309,-0.001204500278,0.01989724815,-0.0457806208,0.2432323131
0.86,0.000415017411,-0.001525155141,0.02148652321,-0.04719178358,0.2659581913
0.87,0.000573230187,-0.001844964081,0.02284656554,-0.04814423089,0.2890075261
0.88,0.0007358818049,-0.002160421594,0.02396354493,-0.04862718846,0.3123755057
0.89,0.0009009497024,-0.002468060642,0.02482592046,-0.04863416313,0.3360574034
0.9,0.001066387897,-0.002764474524,0.02542387495,-0.04816169862,0.3600490497
0.91,0.001230153395,-0.003046355778,0.02575103043,-0.04721171762,0.3843466075
0.92,0.001390227604,-0.003310536222,0.02580386899,-0.04579180278,0.4089462861
0.93,0.001544634577,-0.003554018631,0.02558138193,-0.04391421473,0.4338443259
0.94,0.001691460351,-0.003774006117,0.02508527561,-0.0415956914,0.4590369965
0.95,0.001828871676,-0.00396792962,0.02431995514,-0.03885729323,0.4845205945
0.96,0.00195513396,-0.004133473257,0.0232924814,-0.03572420972,0.5102914394
0.97,0.002068628252,-0.004268597276,0.02201250257,-0.03222552461,0.5363458693
0.98,0.002167867094,-0.004371558383,0.02049215997,-0.02839394199,0.562680235
0.99,0.00225150909,-0.004440927229,0.01874596988,-0.02426547554,0.5892908945
1,0.00231837205,-0.004475602874,0.0167906818,-0.01987910431,0.6161742067
1.01,0.002367444578,-0.004474824078,0.01464511512,-0.01527639829,0.6433265248
1.02,0.002397895991,-0.0044381773,0.01232997523,-0.01050111802,0.6707441902
1.03,0.002409084469,-0.004365601337,0.009867651404,-0.005598792215,0.6984235272
1.04,0.002400563367,-0.004257388523,0.007281998019,-0.0006162780624,0.7263608375
1.05,0.00237208561,-0.004114182524,0.004598101526,0.004398691229,0.754552396
1.06,0.002323606146,-0.003936972704,0.00184203548,0.009397966976,0.7829944479
1.07,0.002255282417,-0.003727085167,-0.0009593942346,0.01433344882,0.8116832062
1.08,0.002167472855,-0.00348617053,-0.003778910977,0.01915754742,0.840614851
1.09,0.002060733421,-0.003216188577,-0.006589033794,0.02382364132,0.8697855297
1.1,0.001935812206,-0.002919389935,-0.009362345387,0.02828652394,0.8991913586
1.11,0.001793642162,-0.002598294954,-0.01207175981,0.03250283648,0.9288284258
1.12,0.001635332029,-0.002255669988,-0.01469078642,0.03643148308,0.9586927946
1.13,0.001462155545,-0.001894501318,-0.01719378847,0.04003402448,0.9887805084
1.14,0.001275539049,-0.001517966944,-0.01955623288,0.04327504714,1.019087596
1.15,0.001077047592,-0.001129406518,-0.02175492975,0.04612250433,1.049610078
1.16,0.0008683696938,-0.0007322896942,-0.02376825844,0.04854802677,1.080343971
1.17,0.0006513008982,-0.0003301831801,-0.02557637879,0.05052719973,1.111285298
1.18,0.0004277262735,7.33E-05,-0.02716142491,0.05203980447,1.142430089
1.19,0.0001996020404,0.000474451134,-0.02850768008,0.05307002153,1.173774393
1.2,-3.10E-05,0.0008696424185,-0.02959984027,0.05360307728,1.205315277
1.21,-0.000262102933,0.001255093775,-0.03041755986,0.05361543355,1.237054638
1.22,-0.0004914445321,0.001627079782,-0.03095521653,0.05309965196,1.268996071
1.23,-0.0007169734432,0.001982001323,-0.03120761449,0.05206020308,1.301143245
1.24,-0.0009366192531,0.002316426794,-0.03117182203,0.05050746241,1.333499867
1.25,-0.001148363097,0.002627128443,-0.03084784115,0.04845719754,1.366069681
1.26,-0.001350258421,0.002911116399,-0.03023860857,0.0459303819,1.398856465
1.27,-0.001540451008,0.00316567017,-0.02934996627,0.0429529694,1.431864029
